,studlab,treat1,treat2,id,TE,seTE,type_outcome1,TE2,seTE2,type_outcome2,rob,year_publication,male,n1,n2,rob
1,Asahina_2010,ADA,PBO,22,3.622039436,1.418678602,binary,3.622039436,1.418678602,binary,H,2010,613,347,209,H
2,Bachelez_2015,ETA,PBO,69,3.547151294,0.998510796,binary,3.547151294,0.998510796,binary,M,2012,126,31,64,M
3,Bachelez_2015,ETA,TOFA,69,-0.108968457,0.108048054,binary,-0.108968457,0.108048054,binary,L,2007,222,64,128,L
4,Bachelez_2015,PBO,TOFA,69,-3.656119751,0.998064153,binary,-3.656119751,0.998064153,binary,L,2008,531,255,255,L
5,Bagel_2012,ETA,PBO,26,2.708050201,1.0170588,binary,2.708050201,1.0170588,binary,L,2008,840,410,409,L
6,Bagel_2018_CLARITY,SECU,USK,103,0.345819028,0.045716545,binary,0.345819028,0.045716545,binary,L,2011,103,60,61,L
7,Blauvelt_2015_FEATURE,PBO,SECU,8,-4.290459441,1.412014099,binary,-4.290459441,1.412014099,binary,L,2012,125,50,48,L
8,Blauvelt_2016_VOYAGE1,ADA,GUSEL,100,-0.387892387,0.06434243,binary,-0.387892387,0.06434243,binary,L,2014,117,59,59,L
9,Blauvelt_2016_VOYAGE1,ADA,PBO,100,2.850464182,0.444165462,binary,2.850464182,0.444165462,binary,L,2014,509,248,245,L
10,Blauvelt_2016_VOYAGE1,GUSEL,PBO,100,3.23835657,0.441998572,binary,3.23835657,0.441998572,binary,L,2014,929,326,326,L
11,Cai_2016,ADA,PBO,84,2.780691897,0.569385326,binary,2.780691897,0.569385326,binary,L,2014,929,326,327,L
12,Chaudhari_2001,IFX,PBO,40,NA,NA,binary,NA,NA,binary,L,2014,929,326,327,L
13,deVries_2016_PIECE,ETA,IFX,83,-2.219203484,1.008227028,binary,-2.219203484,1.008227028,binary,H,2013,91,22,103,H
14,Elewski_2018,ADA,PBO,105,1.895020798,0.381706913,binary,1.895020798,0.381706913,binary,L,2013,306,67,337,L
15,Ellis_1991,CICLO,PBO,14,NA,NA,binary,NA,NA,binary,H,2007,55,31,37,H
16,EUCTR2015-003623-65-DE  ,ADA,RISAN,138,-0.4245992,0.070141768,binary,-0.4245992,0.070141768,binary,H,2003,57,42,43,H
17,Fallaharani_2011,FUM,MTX,36,-0.693147181,1.197219,binary,-0.693147181,1.197219,binary,H,2003,25,15,15,H
18,"Ferris ORION, 2019  ",GUSEL,PBO,121,3.222070716,1.39443414,binary,3.222070716,1.39443414,binary,L,2005,268,301,77,L
19,Flystrom_2007,CICLO,MTX,15,0.763302167,0.559879499,binary,0.763302167,0.559879499,binary,M,2010,36,35,19,M
20,Goldfarb_1998,ACI,PBO,61,NA,NA,binary,NA,NA,binary,L,2012,127,40,38,L
21,"Gordon UltIMMa-1, 2018  ",PBO,RISAN,107,-2.732229203,0.437348164,binary,-2.732229203,0.437348164,binary,L,2015,573,562,282,L
22,"Gordon UltIMMa-1, 2018  ",PBO,USK,107,-2.128231706,0.451886801,binary,-2.128231706,0.451886801,binary,M,2010,143,43,46,M
23,"Gordon UltIMMa-1, 2018  ",RISAN,USK,107,0.603997497,0.122812625,binary,0.603997497,0.122812625,binary,L,2006,99,45,52,L
24,"Gordon UltIMMa-2, 2018  ",PBO,RISAN,108,-3.601868077,0.700671116,binary,-3.601868077,0.700671116,binary,L,2008,803,814,398,L
25,"Gordon UltIMMa-2, 2018  ",PBO,USK,108,-3.14684805,0.707793405,binary,-3.14684805,0.707793405,binary,L,2007,178,108,110,L
26,"Gordon UltIMMa-2, 2018  ",RISAN,USK,108,0.455020027,0.110994052,binary,0.455020027,0.110994052,binary,L,2007,178,108,53,L
27,Gordon_2006,ADA,PBO,23,3.256855073,1.430525612,binary,3.256855073,1.430525612,binary,L,2007,178,110,53,L
28,Gordon_2015_X-PLORE,ADA,GUSEL,72,-0.297967343,0.193574283,binary,-0.297967343,0.193574283,binary,L,2012,69,NA,NA,L
29,Gordon_2015_X-PLORE,ADA,PBO,72,2.920908482,1.002779258,binary,2.920908482,1.002779258,binary,H,2003,70,57,55,H
30,Gordon_2015_X-PLORE,GUSEL,PBO,72,3.218875825,0.992111745,binary,3.218875825,0.992111745,binary,L,2003,439,162,166,L
31,Gordon_2016_UNCOVER1,IXE,PBO,91,5.029070929,0.706135734,binary,5.029070929,0.706135734,binary,M,2005,382,194,193,M
32,"Gottlieb CIMPASI-1, 2018",CERTO,PBO,109,3.092074978,0.997669439,binary,3.092074978,0.997669439,binary,L,2006,419,311,307,L
33,"Gottlieb CIMPASI-2, 2018",CERTO,PBO,110,2.60396601,0.699235952,binary,2.60396601,0.699235952,binary,L,2008,84,96,46,L
34,"Gottlieb IXORA-R, 2019",GUSEL,IXE,155,-0.257087207,0.047526951,binary,-0.257087207,0.047526951,binary,H,2014,62,38,38,H
35,Gottlieb_2003,ETA,PBO,29,NA,NA,binary,NA,NA,binary,M,2006,15,10,10,M
36,Gottlieb_2004,IFX,PBO,43,3.37975705,0.993898891,binary,3.37975705,0.993898891,binary,H,2011,36,26,25,H
37,Gottlieb_2011,ETA,PBO,88,2.767255376,1.004243471,binary,2.767255376,1.004243471,binary,L,2012,320,212,204,L
